"Character";"Line";"Season";"Episode_Number"
"Dwight";" Really? We don’t have any girls from HR.";2;1
"Michael";" No, that…for the sake of the story. And things were getting hot and heavy.";2;1
"Dwight";" Yeah?";2;1
"Michael";" And I was about to take her bra off…";2;1
"Dwight";" Yeah!";2;1
"Michael";" …when she made me fill out six hours of paperwork-";2;1
"Dwight";" Like an AIDS test?";2;1
"Michael";" No! [under his breath] God.  ";2;1
"Michael";" [clears throat] Alright, so let’s get this party staaaarrrrted.  ";2;1
"Darryl";" Hey let’s go to Poor Richard’s.";2;1
"Roy";" Yeah, let’s get out of here.";2;1
"Pam";" Um…  ";2;1
"Michael";" Um, guys, where you going? Pam, show’s just getting started.";2;1
"Pam";" Sorry.  ";2;1
"Ryan";" You staying?";2;1
"Jim";" Yeah, gotta eat somewhere.  ";2;1
"Michael";" And now… to someone who quietly goes about their job, but always seems to land the biggest accounts…";2;1
"Michael";" …the “Busiest Beaver” award goes to Phyllis Lapin.";2;1
"Michael";" Yeah, way to go Phyllis. Nice work, per usual.";2;1
"Phyllis";" This says “Bushiest Beaver”.";2;1
"Michael";" What? I told them busiest…idiots.";2;1
"Phyllis";" It’s, it’s fine.";2;1
"Michael";" Well, we’ll fix it up. You don’t have to display that.  ";2;1
"Pam";" …because that’s what happens every time!";2;1
"Roy";" …talking about? He’s a jackass every year.";2;1
"Pam";" No.";2;1
"Roy";" [Put’s his hand on Pam’s arm] Come on, we’re going to Poor Richard’s.";2;1
"Pam";" [Breaks Roy’s grip] No, I don’t want to go, I don’t want to.";2;1
"Roy";" Pam. Go.";2;1
"Pam";" If you would have asked me that, then you would know.  ";2;1
"Michael";" [in a stereotypical oriental accent] Herro everybodeeee. I’m gonna cwall Jan Revinson-Gould.  ";2;1
"Jim";" Hey! How are ya? I thought you left?";2;1
"Pam";" Oh no, I just, I decided to stay.";2;1
"Jim";" Oh!";2;1
"Pam";" I’ll just get a ride home from Angela.";2;1
"Jim";" Oh.  ";2;1
"Pam";" Oh good, I’m just in time for Ping.";2;1
"Jim";" Yeah.";2;1
"Michael";" [doing impression] Oh, dat wir be fwar. Ah, me so horny.";2;1
"Michael";" Right? You know wat I’m talking ’bout.  ";2;1
"Pam";" [to an off camera waiter and still clutching Jim’s beer] Can I get a drink?  ";2;1
"Michael";" This next award goes to somebody, who really, lights up the office.";2;1
"Michael";" Somebody, who I think a lot of us, cannot keep, from checking out. The “Hottest in the Office” award goes to… …Ryan the temp!";2;1
"Michael";" Yeah. [singing to music] “Hidy ho, you sexy thang. You sexy thang you.” Here you go.  ";2;1
"Ryan";" What am I going to do with the award? Nothing. I-I don’t know what I’m going to do. That’s the least of my…concerns right now.  ";2;1
"Michael";" And the “Tight Ass” award goes to Angela.  Not only because she is everybody’s favorite stickler, but because she has, a great caboose.  So…come on down.";2;1
"Angela";" No.  ";2;1
"Jim";" [Pam starts sipping an empty glass] I think those might be empty.";2;1
"Pam";" No, no. ‘Cause the ice melts and then it’s like second drink! [laughs]";2;1
"Jim";" Second drink?  ";2;1
"Michael";" The “Spicy Curry” award goes to our very own Kelly Kapoor!  Get on up here. Here you go.";2;1
"Kelly";" “Spicy Curry”, what’s that mean?";2;1
"Michael";" Um, not everything means something, it’s just a joke.";2;1
"Kelly";" Yeah, but why’d you give it to me? ";2;1
"Michael";" I don’t know, it’s just…";2;1
"Kelly";" This is a bowler-";2;1
"Michael";" I know. It’s ju- they didn’t have any more businessmen. So…";2;1
"Kelly";" Yeah, but everyone else-";2;1
"Michael";" Just sit down Kelly.  ";2;1
"Michael";" [sweaty and chugging water from a bottle] It’s so freakin’ hot in there. Now I know what Bob Hope was going through when he performed in Saudi Arabia. Man! I got Dwight sucking the funny out of the room, but you do what you can do. [Music starts playing in the background] Here we go, he’s early with the cue. Here we go.  ";2;1
"Michael";" [Michael is singing to the tune of “Tiny Dancer” by Elton John] “You have won a tiny Dundie.”";2;1
"Guy At Bar";" Sing it Elton.";2;1
"Michael";" Hey, thanks guys. Hey, where you guys from?";2;1
"Michael";" Oh, alright, yeah.";2;1
"Guy At Bar";"  Sing ’em a song dude.";2;1
"Michael";" Uh, you know what guys, we’re just having a little office party, so if you want, uh…";2;1
"Michael";" [Something flies by Michael] Hey, you know, cool it guys, really-";2;1
"Guy At Bar";" You suck man!";2;1
"Michael";" Let’s cut it. [Dwight turns the music off]";2;1
"Michael";" [clears throat] [with a lot less enthusiasm] I had a few more Dundies to, uh, give out tonight, but, I’m just going to cut it short. And wrap it up so everybody can enjoy their food. Um…thanks for listening, those who listened. [clears throat] This last Dundie is for Kevin, this is the “Don’t Go in There After Me” award. It’s for the time that I went into the bathroom after him, and it was really, really smelly. So…";2;1
"Michael";" [give Kevin his award]There you go.  ";2;1
"Pam";" Yay Kevin. Whoo hoo for Kevin! For stinking up the bathroom.";2;1
"Jim";" [starts clapping] Yeah, alright Kev.";2;1
"Pam";" Woo! Hey, I haven’t gotten one yet!";2;1
"Jim";" Yes, I have not gotten one either. So, keep going.";2;1
"Pam";" More Dundies!";2;1
"Pam And Jim";" [clapping] Dundies! Dundies! Dundies! Dundies!";2;1
"Everybody";" Dundies! Dundies!";2;1
"Michael";" [getting his spirit back] Alright, alright, alright, okay. Alright, we’ll keep rolling. Okay, this is the fine work award. This goes to Stanley, for all the fine work he did this year.";2;1
"Pam";" Fine work! Fine work Stanley!";2;1
"Michael";" You know you did.  ";2;1
"Pam";" Here here! Speech, speech, speech, speech [other people start joining in]";2;1
"Stanley";" Well, well, last year, I got great work, so I don’t…";2;1
"Stanley";" So, I don’t know what to think about this award. But at least I didn’t get smelliest bowel movement like Kevin. [starts chuckling]  ";2;1
"Michael";" And this next award is going out to our own little Pam Beesley…";2;1
"Michael";" …I think we all know what award Pam is going to be getting this year.";2;1
"Michael";" It is the “Whitest Sneakers” award! Because she always has the whitest tennis shoes on!  ";2;1
"Michael";" Get on down here! Pam Beesley ladies and gentlemen! [Pam grabs the microphone from him] Oh, here we go.";2;1
"Pam";" I have so many people to thank for this award. ";2;1
"Pam";" Okay, first off, my Keds. Because I couldn’t have done it without them. [people clap] Thank you. Let’s give Michael a round of applause for MC-ing tonight because [people start clapping again] this is a lot harder than it looks. And also because of Dwight too.";2;1
"Pam";" Um, so, finally, I want to thank God. Because God gave me this Dundie.";2;1
"Pam";" And, I feel God in this Chili’s tonight. WHOOOOOOOO!!!!";2;1
"Michael";" Pam Beesley ladies and gentleman. [Pam hugs Michael and gives him a quick peck on the cheek] Oh! Thank you.  ";2;1
"Jim";" What a great year for the Dundies.  ";2;1
"Jim";" We got to see Ping.  [Pam nods] And we learned of Michael’s true feelings for Ryan. [Pam nods] Which was touching. And, we heard Michael change the lyrics to a number of classic songs. [Pam nods] Which for me, has ruined them for life. [looks at Pam, who is staring at him, nodding]";2;1
"Jim";" What?";2;1
"Pam";" Nothing.";2;1
"Jim";" Okay.";2;1
"Pam";" What?";2;1
"Jim";" I don’t know, what?";2;1
"Jim";" Oh my God! You are so drunk!  ";2;1
"Jim";" Did you get that? Please tell me you got that. This is all going to be on.";2;1
"Dwight";" Quick, quick, the woman is having a seizure. Grab her tongue, grab her tongue! It’s okay, I’m a sheriff’s deputy.";2;1
"Jim";" He’s a volunteer.";2;1
"Dwight";" Don’t get into that now. We need something to cushion her head. Throw pillow? A cush-";2;1
"Jim";" Dwight come on, come-";2;1
"Dwight";" It’s okay, I’m going to use my shirt.";2;1
"Pam";" Dwight, get off me!";2;1
"Employee";" I’m sorry, you’re gonna have to put your clothes back on, people are trying to eat.";2;1
"Dwight";" [struggling] Ahh! I can’t-  ";2;1
"Michael";" Was this year’s Dundies a success? Well, let’s see, I made Pam laugh so hard, that she fell out of her chair, and she almost broke her neck. So I killed, almost.   ";2;1
"Pam";" Oh my God!";2;1
"Jim";" Whoa.";2;1
"Pam";" I just want to say, that this was the best, Dundies, ever! WHOOOOOOOOO!!!";2;1
"Jim";" Whoa.";2;1
"Jim";" Whoa, careful, careful.  ";2;1
"Chili’S Employee";" We have a strict policy here not to over serve.  Apparently, this young woman was sneaking drinks off other people’s tables. I Xeroxed her driver’s license and she is not welcome to this restaurant chain ever again.   ";2;1
"Michael";" Great work tonight.";2;1
"Dwight";" Watch your step.";2;1
"Michael";" Excellent.";2;1
"Dwight";" Thanks, I had to, uh, check her pupils to make sure there wasn’t a concussion.";2;1
"Michael";" Yes, that too, but I mean with the audio. Great work.  ";2;1
"Pam";" I feel bad about what I wrote on the bathroom wall.";2;1
"Jim";" No you don’t.  ";2;1
"Jim";" Oh, here she is. Careful, careful, whoa. Alright, easy. Almost there.";2;1
"Pam";" Hey, um, can I ask you a question?";2;1
"Jim";" Shoot.";2;1
"Pam";" Um, I just wanted to say thanks.";2;1
"Jim";" Not really a question. [starts to laugh] Okay, let’s get you home, you’re drunk.";2;1
"Jim";" Alright.";2;1
"Pam";" Bye.";2;1
"Jim";" Goodnight, have a good night. Thank you Angela.  ";2;1
"Michael";" TMI. Too much information. I used to say, “Don’t go there,” but that is so lame now. Or, “You go, girl.” Or… Um, when did “Where’s the beef?” That was, like, a long, long time ago. It’s funny how the shelf life of these things, like how long they last, like, “Too much information” probably came on the scene… I mean, I didn’t hear it till, like, this month, so it’s pretty recently. Um, but you know, they’re generally good for, like, no more than five or six years.  ";2;1
"Toby";" Yes, that’s true. I have never won a Dundie. I am more than okay  with that.  ";2;1
"Kelly";" I think I’m gonna share some Cadillac Fajitas with Toby. Toby is so cute, except he has that stupid kid.  ";2;1
"Angela";" Yes, I’m the designated driver, which is very important. We need everyone to get home safely. [sighs] But no one ever gives me gas money, and people live all over. It’s expensive.  ";2;1
"Dwight";" [scoffs] Like a gaggle of geese… [jibbering mockingly]  ";2;1
"Michael";" All right, we need something for Kevin.";2;1
"Jim";" Mmm-hmmm.";2;1
"Michael";" What do we know about him? He’s an accountant.";2;1
"Jim";" He plays guitar, he likes naval history. He’s a bowler.";2;1
"Michael";" [talking over Jim] He’s fat. The fat accountant award.";2;1
"Jim";" Well, you seem to have this under control.  ";2;1
"Jim";"  The weird part about this whole deal this that Michael truly believes that these awards are inspiring and motivational. I mean, he puts more effort and time and commitment into the Dundies than anything else he does all year. Which is probably why this branch will be downsized.  ";2;1
"Michael";" I am the fat accountant.";2;1
"Dwight";" Michael, I need to talk to you.";2;1
"Michael";" Here he is.";2;1
"Dwight";" I just thought that you might like to know that someone has written something about you on the ladies’ room wall.";2;1
"Michael";" Really? What did they say? “For a good time, call Michael Scott”?";2;1
"Jim";" Good one.";2;1
"Dwight";" Uh, no, no. No, I think something bad, maybe.";2;1
"Michael";" Why do you think that? You just immediately go to that, Dwight? Why are you so negative? Why…";2;1
"Dwight";" Michael.";2;1
"Michael";" I mean, you just come in and you’re just negative…";2;1
"Dwight";" Michael.";2;1
"Michael";" …and you just walk negatively.";2;1
"Michael";" Do you want me to find out what it says?";2;1
"Michael";" Yes.";2;1
"Dwight";" By any means necessary?";2;1
"Michael";" What does that even mean? What are you… What are you talking about?";2;1
"Dwight";" It’s the ladies’ room.";2;1
"Michael";" Just go and find out what it says and who said it and report back to me. But don’t tell anybody that I have anything to do with it because if they ask me, I will say that you are crazy.";2;1
"Michael";" Thank you. You won’t regret this, Michael.";2;1
"Jim";" What award would you like to give Dwight?";2;1
"Michael";" I hadn’t planned on including him.";2;1
"Jim";" Okay.";2;1
"Michael";" Kevin.  ";2;1
"Dwight";" It hasn’t always been easy being a whistleblower. When I was in school, the kids would call me a tattle-tale or a snitch or a worm. So I really identify with those women from Enron. I wrote them letters to tell them how much they inspired me, but they never wrote back. I guess they’re all married.  ";2;1
"Dwight";" Angela, it’s simple. Just tell me what the bathroom wall says.";2;1
"Angela";" I don’t talk about what goes on in the restroom.";2;1
"Dwight";" I’m not asking what you do in there. I just want to know what’s written about Michael.";2;1
"Angela";" I don’t says those kinds of things out loud. It’s inappropriate.";2;1
"Dwight";" Okay, I’ll talk. You nod if I get it right. Does it have to do with his butt or his wiener?  ";2;1
"Kevin";" I think his characters are pretty funny. Especially Ping.  ";2;1
"Michael";" Well, what should I do, guys? Seriously, do you want me to just cancel the Dundies?";2;1
"Kelly";" No, we were just hoping you wouldn’t do those characters, like last time.";2;1
"Michael";" Ping? Everybody loves Ping. He’s my most popular character.";2;1
"Oscar";" I think many people find that character slightly racist.";2;1
"Michael";" Really? Well, he is based on the Chinese delivery guy that I have, who talks exactly like that, so, I think you should take it up with him instead of me.";2;1
"Oscar";" Look, I’m just saying that there are many people that are offered by your insensitive skits.";2;1
"Michael";" [sighs] Well, neither of you are Chinese, so what… Why do you care?  ";2;1
"Phyllis";" Dwight, get out of here!";2;1
"Dwight";" No, no, no.";2;1
"Phyllis";" You can’t be in here!";2;1
"Dwight";" It’s not what you think.";2;1
"Phyllis";" Shut up. You’re a freak!";2;1
"Dwight";"  I’m on official business.";2;1
"Phyllis";" You are…";2;1
"Dwight";" This is Dunder Mifflin…";2;1
"Phyllis";" I’m telling Michael.";2;1
"Dwight";" No. Phyllis, you’re not…";2;1
"Phyllis";" I’m telling Michael.";2;1
"Dwight";" Phyllis, no. No.";2;1
"Phyllis";" Michael, Michael.";2;1
"Dwight";" Phyllis, no, no. Do not listen to her. She’s out of her mind.";2;1
"Phyllis";" Dwight was in the ladies’ room and he was looking at me.";2;1
"Michael";" What?";2;1
"Dwight";" That is not true.";2;1
"Phyllis";" He was looking at me in the ladies’ room.";2;1
"Dwight";"  That’s totally unfair. I was just in the ladies’ room in order to spy.";2;1
"Michael";" Dwight, you’ve hit a new low here.";2;1
"Phyllis";" That’s what I said. He was spying in the ladies’ room.";2;1
"Dwight";" What do you think, Phyllis? You think I followed you in there? Like, “Oh good. Phyllis is going to the bathroom, so maybe I get to see her naked from the waist down.” I’m not even attracted to you.";2;1
"Michael";" That is a good point.";2;1
"Phyllis";" Write him up or I’ll take it to Jan.";2;1
"Michael";" Okay, all right, I will do that. I will get to that definitely. Absolutely.";2;1
"Phyllis";" When?";2;1
"Michael";" Oh, I don’t know. Maybe after I finish writing, producing, directing, and hosting your awards show. All right, just relax, keep your pants on. Unless, of course, you’re in the bathroom and you should be able to take your pants off in that case without Creepsville Central spying on you. Good.";2;1
"Phyllis";" All right.  ";2;1
"Dwight";"  All right, let’s wrap it up. Come on, we’re late. The Dundies are starting very soon. Accounting, let’s go, let’s go. Okay, I gave you fair warning. [turns off their computers] Out. Who’s next, customer service? Meredith, let’s roll.  ";2;1
"Michael";" Here we go. [organizing his costumes] And that. [to waitress] Hey. How you doing?  ";2;1
"Michael";" [singing] You down with the Dundies? ";2;1
"Dwight";" Yeah, you know me.";2;1
"Michael";" [singing] You down with the Dundies?";2;1
"Dwight";" The Dundies!";2;1
"Michael";" [singing] You down with the Dundies? You’re all my homies";2;1
"Dwight";" You know me.";2;1
"Michael";" [singing] You down with the Dundies?";2;1
"Dwight";" Yeah, you know me.";2;1
"Michael";" [singing] Yeah, all the homies  ";2;1
"Michael";" I have listened to that song so many times and I still don’t know what OPP stands for. Other people’s… Something. I… [shakes head]  ";2;1
"Kevin";" So, Pam, I wonder who’s gonna get “longest engagement” this year.";2;1
"Roy";" Well. You’re not goona get longest engagement, man, ’cause we got that locked up.";2;1
"Kevin";" I wonder what I’ll get. I brought my fiance.  ";2;1
"Michael";" All right, our next award… ah, yes, this award goes to the most creative writing on the ladies’ room wall, and the winner is… Who is it? Who wants to claim it? Shiny Dundie. Who wrote it? Great idea, Dwight.  ";2;1
"Toby";" I’m just saying I don’t think it’s appropriate for you to have given Ryan that award.";2;1
"Michael";" He’s hot, all right? What do you want me to do about it?";2;1
"Toby";" Okay, that is fine to feel, but not to act on.";2;1
"Michael";" [sighing] It was unanimous, Toby.";2;1
"Toby";" It wasn’t a vote. You decided.";2;1
"Michael";" Well, okay, I based it on what I felt was unanimous office sentiment, and this isn’t even about what Ryan thinks. It’s about you. It’s about how you feel about the Dundies. Admit it.";2;1
"Toby";" Okay, that is not true.";2;1
"Michael";" Yes, it is true.";2;1
"Toby";" ‘Cause Ryan asked me to talk to you.";2;1
"Michael";" Okay, I don’t have time for this. I need to get on stage and you are breaking my concentration. [imitating Native chant] Me Chief Michael Scott. Here to trade…  ";2;1
"Dwight";" Excuse me, Goldschlager, extra flakes.";2;1
"Waitress";" We don’t have that. You want a Presidente Margarita? Blue Pacific Margarita, El Nino…";2;1
"Dwight";" No, no. No margarita. Hot sake.";2;1
"Waitress";" [shakes head ‘no’]";2;1
"Dwight";" Fosters in the big can.";2;1
"Waitress";" [shakes head ‘no’ again]";2;1
"Dwight";" Just a chocolate shake, chocolate sprinkles.  ";2;1
"Dwight";" Okay. No, no, no, no, no. Lie still, lie still.";2;1
"Pam";" I am fine.";2;1
"Jim";" Dwight, this is crazy.";2;1
"Pam";" Okay.";2;1
"Dwight";" Jim, not now! We need to cushion her head. Lie still. Please, Pam. Do not move.";2;1
"Jim";" Dwight, Dwight.";2;1
"Dwight";" I’m sorry.";2;1
"Pam";" [laughing] I am fine.";2;1
"Dwight";" Jim, don’t interfere.";2;1
"Manager";" You have to put your clothes back on. People are trying to eat.";2;1
"Pam";" Oh, my God.";2;1
"Dwight";" Can you give me a second, sir.";2;1
"Manager";" No!";2;1
"Pam";" Dwight, let me up.";2;1
"Manager";" Put your clothes back on. Get, get right now.";2;1
"Dwight";" I am a Sheriff’s Deputy.";2;1
"Manager";" That’s fine.";2;1
"Dwight";" I could have my men in here in a second and have you arrested.";2;1
"Jim";" The other volunteers.";2;1
"Dwight";" Pam, are you all right?";2;1
"Pam";" I’m fine.";2;1
"Manager";" Sir, sir.";2;1
"Dwight";" How many fingers am I holding up?";2;1
"Pam";" You’re holding up three fingers.";2;1
"Dwight";" All right. Are you okay?";2;1
"Manager";" Put your clothes on, right now.";2;1
"Dwight";" I will. I will. You need to calm down.";2;1
"Manager";"  Right now.  ";2;1
"Michael";" Don’t wanna forget that.";2;1
"Manager";" You and your party really need to leave right now.";2;1
"Michael";" Absolutely. Is this mine or is this Chili’s?";2;1
"Manager";" You know what? Don’t worry about it.";2;1
"Michael";" Keep it. My gift. [hugs Chili’s Manager] Thank you. Have a good night. See you next year.";2;1
"Manager";" That’s fine.  ";2;1
"Michael";" Any emails today?";2;2
"Jim";" Um… I don’t think so.";2;2
"Michael";" No? Um… Check your spam folder.";2;2
"Jim";" Oh! There it is!";2;2
"Michael";" What?";2;2
"Jim";" Um… ‘Fifty signs your priest might be Michael Jackson.’";2;2
"Michael";" [laughs uncontrollably]";2;2
"Jim";" Well done.";2;2
"Michael";" Kay.";2;2
"Jim";" Topical.  ";2;2
"Michael";" I am king of forwards. It’s how I like to do business, everybody joking around. We’re like ‘Friends’. I am Chandler and Joey and, uh, Pam is Rachel. And Dwight is Kramer.  ";2;2
"Dwight";" So the monkey does the sex thing right here! [monkey noises in background] ";2;2
"Michael";" That’s funny! That’s funny. Not offensive. Uh… because it’s nature. Educational. ";2;2
"Dwight";" Do you want the link because then you could forward it around?";2;2
"Michael";" Um, I… ";2;2
"Dwight";" Consider it?";2;2
"Michael";" Yeah… maybe. Maybe. Well, we’ll see. Because I… I don’t know if it’s… [muffled by jacket over his head] Whup! Come on! Hey!";2;2
"Todd Packer";" What has two thumbs and likes to bone your Mom? [points at self] This guy!";2;2
"Michael";" Kay! Oh, you are so bad! Yeah!";2;2
"Todd Packer";" [makes laser gun noises]";2;2
"Michael";" Oh, Boom! Bam! Oh, this guy is out of control! He is a madman! Better get the bleep button ready for him.";2;2
"Todd Packer";" bleep, bleep. What’s up, Halpert? ";2;2
"Michael";" Uh oh.";2;2
"Todd Packer";" Still queer?";2;2
"Michael";" Uh oh! Oh-ho-ho-ho-ho-o!  ";2;2
"Michael";" Todd Packer and I are total BFF. Best Friends Forever. He and I came up together as salesmen. One time, we were out and we met this set of twins. And Packer told them that we were brothers. And so, you know, one thing led to another, and we brought em back to the motel. And then Packer did both of them. It was awesome. So…   ";2;2
"Michael";" Oh-whoa-oh! Oh! Okay. Grade ‘A’ gossip for you, right now. Randall, CFO, resigned. Nobody knows why.";2;2
"Todd Packer";" Are you kidding? Everyone knows why! You don’t know? Okay, check this out. Al lright. So here’s the story. So Randall is nailing his secretary, right? And she is totally incompetent.";2;2
"Michael";" Really? Here we go! Buckle up. It’s going to be a bumpy one!";2;2
"Todd Packer";" We’re talking blonde incompetent.";2;2
"Michael";" Oh, yeah.";2;2
"Todd Packer";" Like 10 words a minute… talking. ";2;2
"Michael";" Well, to be fair… blondes, brunettes, you know, there’s a lot of dumb people out there.";2;2
"Todd Packer";" They are women, right?";2;2
"Michael";" Oh! Wow! I didn’t say it! I didn’t say it!";2;2
"Todd Packer";" I said it. And then, suddenly, for no reason, this bimbo blows the whistle on the whole thing just to be a bitch.";2;2
"Michael";" Oh, wow! What did I tell you about the bleep button.  ";2;2
"Jim";" Hey, um… what has two thumbs and hates Todd Packer? [points at self] This guy!  ";2;2
"Todd Packer";" Meant to ask you, can you think you can get someone to drive me around because of the, uh, DUI situation?";2;2
"Michael";" Oh. Bad boy. [to Ryan] Um… Ryan? [makes Donald Duck noise]";2;2
"Todd Packer";" [to Ryan] Come on, kid. Let’s go.";2;2
"Michael";" Ah! Man. That Todd Packer can do anything.";2;2
"Jim";" Except pass that breathalyzer.  ";2;2
"Ryan";" You a big William Hung fan?";2;2
"Todd Packer";" Why does everyone ask me that? Who the hell is that?  ";2;2
"Kevin’S Computer";" [monkey noises]  ";2;2
"Jim";" I’m really excited to meet your Mom.";2;2
"Pam";" You are?  ";2;2
"Pam";" My Mom is coming in to visit. And she lives like two hours away. And she doesn’t have a cell phone… which is cool cause it’s kind of adding some suspense to my day. And I keep looking over at the door hoping she’ll walk in.  ";2;2
"Pam";" I’ve decided to show her around. She really wants to meet everybody.";2;2
"Jim";" Oh yeah?";2;2
"Pam";" mmhmm.";2;2
"Jim";" Good. Cause I have a lot of questions.";2;2
"Pam";" Oh really?";2;2
"Jim";" Yeah. As a child, did Pam show any traits that would hint towards her future career as a receptionist?  ";2;2
"Michael";" Hey, send me that link to the monkey sex video. I’m going to forward it like it’s hot.";2;2
"Dwight";" Yes!";2;2
"Michael";" Forward it like it’s hot. Forward it like it’s hot. “Old School”.";2;2
"Toby";" Michael?";2;2
"Michael";" Yes, Toby?";2;2
"Toby";" Um… I need to talk to you in your office. It’ll just take two seconds.";2;2
"Michael";" Um… literally two seconds?  ";2;2
"Michael";" Toby is in HR which technically means he works for Corporate. So he’s really not a part of our family. Also he’s divorced so he’s really not a part of his family.  ";2;2
"Toby";" The full story is that Randall resigned because of sexual harassment. So Corporate asked me to do a five minute review of the Company Sexual Harassment policy.";2;2
"Michael";" No, no, Toby. No.";2;2
"Toby";" It’s really not a big deal, Michael.";2;2
"Michael";" It is a big deal. It’s a big deal! What are we supposed to do? Scrutinize every little thing we say and do all day? I mean, come on!";2;2
"Toby";" And then Corporate is going to send in a lawyer… ";2;2
"Michael";" What?";2;2
"Toby";" Just to refresh you… .";2;2
"Michael";" NO!";2;2
"Toby";" on our policy. ";2;2
"Michael";" What? He! No! Okay, what is a lawyer going to come in and tell us? To not send out hilarious emails or not tell jokes? ";2;2
"Toby";" Maybe not some of them. Maybe not inappropriate ones.";2;2
"Michael";" There is no such thing as an appropriate joke. That’s why it’s a joke.  ";2;2
"Michael";" Everyone! Hello! Everyone. Hi! Sorry to interrupt. I know you’re all busy and the last thing you want is for a major interruption. But Toby has an announcement that he insists on making right now in the middle of the day. [to Toby] So, take it away.";2;2
"Toby";" Yeah, okay. Corporate would like us to do a five minute review of the Company Sexual Harassment policy so I’ll go over that later.";2;2
"Michael";" I wish you luck, Toby. I really do. But you are going to have a mutiny on your hands and I just can’t wait to see how you handle it.  ";2;2
"Michael";" A guy goes to a five dollar… lady of the night and he gets crabs. So, the next day he goes back to complain. And the woman says “Hey. It was only five dollars. What did you expect? Lobster?” This is what’s at stake.  ";2;2
"Michael";" Time to bring out the big guns. I’m heading down to the warehouse where jokes are born. Find a killer joke that’ll just blow everybody away at the seminar later. And remind them what is great about this place. So… ah! Here they are. [to Warehouse guys] Guys! Wondering if I could, uh, get your help for something. I’m looking for a new joke to tell and it needs to be just killer. And it does not need to be clean. So whatcha got?";2;2
"Darryl";" Like a joke? A knock-knock joke?";2;2
"Michael";" Um, yeah, no, well… I mean better. Better than that. The type of stuff you guys tell all day. ";2;2
"Darryl";" Well, [points at Michael] those are some awful tight pants you have on. Where’d you get em? Like Queers R Us?";2;2
"Roy";" Boys R Us!";2;2
"Warehouse Guy";" Oh!";2;2
"Michael";" Alright, alright. Well, yeah, but, you know… a joke but not necessarily at my expense.";2;2
"Darryl";" Man, we can see all your business coming around the corner, okay? You need to, you know, hide the… good thing you don’t have a lot of business to start with.";2;2
"Michael";" Oooh, okay. That was still about me.";2;2
"Roy";" Hey, hey, hey. ";2;2
"Michael";" What?";2;2
"Roy";" So you don’t have the biggest package. Don’t feel bad. ";2;2
"Michael";" I don’t feel bad.";2;2
"Darryl";" [fake whispers to Roy] I think he feels bad.";2;2
"Michael";" No, I don’t.";2;2
"Roy";" You look like you feel bad.";2;2
"Michael";" Okay. ";2;2
"Roy";" Little package!";2;2
"Michael";" Well, not exactly what I was looking for but thanks guys.";2;2
"Warehouse Guy";" Little package! Little package!";2;2
"Michael";" Thank you.";2;2
"Roy";" You look good.";2;2
"Darryl";" Hiding from his momma.";2;2
"Warehouse Guys";" [kissing noises, sheep baaing sounds]  ";2;2
"Toby";" So remember, intent is irrelevant. And that’s it. Pam?";2;2
"Pam";" Um… I just wanted to say that… Just, my Mom’s coming in today.";2;2
"Kevin";" MILF!";2;2
"Pam";" Thanks, Kevin.  ";2;2
"Pam";" Usually the day we talk about sexual harassment is the day that everyone harasses me as a joke.  ";2;2
"Pam";" She’s coming in today and maybe just don’t joke around about that stuff in front of her.";2;2
"Toby";" Great point.";2;2
"Pam";" Thank you.";2;2
"Toby";" Um… in fact, basic rule of thumb, let’s just act everyday like Pam’s Mom’s coming in. All right. That’s it. Um… if anybody has any questions about anything, you know where I sit in the back. ";2;2
"Michael";" Hi, is it over?";2;2
"Toby";" Uh, yes!";2;2
"Michael";" No.";2;2
"Toby";" I can go over it with you.";2;2
"Michael";" I know, I know. It’s good. It is not over. It is not over til it’s over.";2;2
"Toby";" It’s over.";2;2
"Michael";" Did he tell you everything? Obviously, he didn’t because you all still look relatively happy. Albeit bored. Do you realize what we’re losing? Seriously?";2;2
"Angela";" Email forwards.";2;2
"Michael";" Exactly! Mmwwah [blows kiss to Angela]! Can we afford to lose email forwards? Do we want that?";2;2
"Angela";" I hate them. You send me these filthy emails and you say forward them to ten people or you’ll have bad luck.";2;2
"Michael";" Give me a break. Umm… Stanley, how about that hot picture you have by your desk? Centerfold in the Catholic schoolgirl’s outfit? I mean, it is hot, it is sexy, and it turns him on. And I will admit, best part of my morning is staring at it. But what? Are we just going to take it away?";2;2
"Stanley";" That is my daughter. She goes to Catholic girls’ school. I am taking it down right now. ";2;2
"Meredith";" Um… what about office romance?";2;2
"Toby";" Office relationships are never a good idea. Yeah. So let’s just try to avoid them. But, um, if you already have one, you should disclose it to HR. ";2;2
"Phyllis";" All relationships? Eh, even a one-night stand?";2;2
"Michael";" I think the old honor system was just fine. For example, I have never slept with an employee. And, believe me, I could have.";2;2
"Dwight";" Yeah, Meredith.";2;2
"Michael";" No! No! Catherine. Remember her? Remember how hot she was? ";2;2
"Dwight";" Yes.";2;2
"Michael";" She would have definitely slept with me.";2;2
"Kevin";" She wasn’t that hot.";2;2
"Michael";" Yes, she was. Dammit, Kevin!";2;2
"Toby";" Ok, you know, Michael…   ";2;2
