"number";"contractName";"name";"address";"position_latitude";"position_longitude";"banking";"bonus";"status";"lastUpdate";"connected";"bikes";"stands";"mechanicalBikes";"electricalBikes";"electricalInternalBatteryBikes";"electricalRemovableBatteryBikes";"capacity";"CodePostal"
"3094";"lyon";"3094 - VILLETTE";"74 RUE DE LA VILLETTE";45,757808;4,861512;TRUE;FALSE;"OPEN";"2024-03-17T13:30:39Z";TRUE;23;14;19;5;0;5;38;69003
"5044";"lyon";"5044 - CHAMPVERT";"87 RUE DOCTEUR EDMOND LOCARD";45,760056;4,798366;TRUE;TRUE;"OPEN";"2024-03-17T13:29:11Z";TRUE;4;11;4;0;0;0;15;69005
"3069";"lyon";"3069 - DAUPHINÉ / SAINT-MAXIMIN";"";45,750002;4,864587;FALSE;FALSE;"OPEN";"2024-03-17T13:25:55Z";TRUE;18;12;9;9;0;9;30;69003
"10006";"lyon";"10006 - CHARPENNES";"Place Charles Hernu / côté sud";45,770225;4,863102;TRUE;FALSE;"OPEN";"2024-03-17T13:32:08Z";TRUE;18;28;11;7;0;7;46;69100
"9011";"lyon";"9011 - CONSERVATOIRE";"Quai Chauveau / angle Pont Koenig";45,769803;4,812681;TRUE;FALSE;"OPEN";"2024-03-17T13:26:05Z";TRUE;11;8;10;1;0;1;19;69009
"21001";"lyon";"21001 - LA MULATIERE - AQUARIUM";"";45,727309;4,814779;TRUE;FALSE;"OPEN";"2024-03-17T13:28:56Z";TRUE;19;5;10;9;0;9;24;69350
"9015";"lyon";"9015 - SAINT-CYR";"";45,782855;4,807288;FALSE;FALSE;"OPEN";"2024-03-17T13:28:39Z";TRUE;24;6;13;11;0;11;30;69009
"6012";"lyon";"6012 - PLACE PUVIS DE CHAVANNES";"Angle rue Vendôme";45,771794;4,84459;FALSE;FALSE;"OPEN";"2024-03-17T13:30:03Z";TRUE;1;9;1;0;0;0;10;69006
"8009";"lyon";"8009 - JEAN XXIII / MERMOZ";"Boulevard Jean XXIII - Angle de la rue Mermoz";45,73648;4,869789;TRUE;FALSE;"OPEN";"2024-03-17T13:31:41Z";TRUE;9;10;2;8;0;8;20;69008
"10073";"lyon";"10073 - INSTITUT D'ART CONTEMPORAIN";"Rue Docteur Dolard / Angle rue 4 Septembre";45,761468;4,872466;FALSE;FALSE;"OPEN";"2024-03-17T13:27:22Z";TRUE;21;3;14;7;0;7;25;69100
"2035";"lyon";"2035 - CHILDEBERT / RIVIÈRE";"";45,759842;4,835776;TRUE;FALSE;"OPEN";"2024-03-17T13:29:49Z";TRUE;5;17;5;0;0;0;23;69002
"9014";"lyon";"9014 - QUAI DU COMMERCE";"Angle rue Emile Duport";45,7820006188352;4,81043960203213;TRUE;FALSE;"OPEN";"2024-03-17T13:27:32Z";TRUE;9;21;0;9;0;9;30;69009
"3097";"lyon";"3097 - AUGAGNEUR / FOSSE AUX OURS";"28 QUAI VICTOR AUGAGNEUR";45,757192;4,840495;TRUE;FALSE;"OPEN";"2024-03-17T13:32:11Z";TRUE;7;31;7;2;0;2;40;69003
"3035";"lyon";"3035 - PHILOMENE MAGNIN";"";45,752453;4,858785;TRUE;FALSE;"OPEN";"2024-03-17T13:26:13Z";TRUE;17;7;8;9;0;9;24;69003
"9022";"lyon";"9022 - MASARYK / SAINT-CYR";"Angle rue Chinard/rue St Cyr";45,778639;4,8071;FALSE;FALSE;"OPEN";"2024-03-17T13:31:12Z";TRUE;6;7;3;3;0;3;13;69009
"3138";"lyon";"3138 - VIVIER MERLE / PAUL BERT OUEST";"Devant l'hôtel IBIS";45,757484;4,858386;FALSE;FALSE;"OPEN";"2024-03-17T13:32:04Z";TRUE;7;9;3;5;0;5;19;69003
"10112";"lyon";"10112 - PLACE DE LA RECONNAISSANCE";"105 ROUTE DE GENAS (VILLEURBANNE)";45,754415;4,885249;TRUE;FALSE;"OPEN";"2024-03-17T13:31:53Z";TRUE;0;30;0;2;0;2;32;69003
"4024";"lyon";"4024 - LYON METROPOLE";"FACE AU 81 QUAI JOSEPH GILLET";45,788204;4,818572;TRUE;FALSE;"OPEN";"2024-03-17T13:26:49Z";TRUE;20;5;9;11;0;11;25;69004
"15001";"lyon";"15001 - ST PRIEST - PARC TECHNOLOGIQUE";"";45,714426;4,930975;TRUE;FALSE;"OPEN";"2024-03-17T13:31:50Z";TRUE;10;10;10;0;0;0;20;69800
"8041";"lyon";"8041 - ETATS-UNIS / VIVIANI";"170 Boulevard des Etats-Unis, Angle Avenue Viviani, direction Venissieux";45,724775;4,870745;TRUE;FALSE;"OPEN";"2024-03-17T13:26:27Z";TRUE;19;1;16;3;0;3;20;69008
"2008";"lyon";"2008 - PLACE ANTONIN PONCET";"Côté rue des Marroniers";45,756775;4,833917;TRUE;FALSE;"OPEN";"2024-03-17T13:33:27Z";TRUE;22;17;13;9;0;9;40;69002
